Scenario,Diagnosis,Age_Group,Category
"3-year-old with barking cough, inspiratory stridor, and low-grade fever. Symptoms worse at night.",Croup,Toddler,Respiratory
"6-month-old with wheezing, nasal congestion, and difficulty feeding. RSV season.",Bronchiolitis,Infant,Respiratory
"8-year-old with recurrent wheezing episodes triggered by exercise and cold air. Family history of atopy.",Asthma,School-age,Respiratory
"2-week-old with persistent nasal congestion and noisy breathing. Symptoms improve when crying.",Choanal atresia,Neonate,Respiratory
"5-year-old with sudden onset of choking and unilateral decreased breath sounds.",Foreign body aspiration,Preschool,Respiratory
"4-year-old with high fever, toxic appearance, drooling, and tripod positioning.",Epiglottitis,Preschool,Respiratory
"10-year-old with chronic cough, recurrent pneumonia, and failure to thrive. Salty-tasting skin.",Cystic fibrosis,School-age,Respiratory
"3-month-old with paroxysmal cough, inspiratory whoop, and post-tussive vomiting. Unvaccinated.",Pertussis,Infant,Respiratory
"7-year-old with fever, productive cough, and decreased breath sounds over right lower lobe.",Pneumonia,School-age,Respiratory
"Newborn with respiratory distress immediately after birth. Chest X-ray shows ground-glass appearance.",Respiratory distress syndrome,Neonate,Respiratory
"4-week-old with projectile non-bilious vomiting after every feed. Hungry after vomiting. Palpable olive-shaped mass.",Pyloric stenosis,Neonate,Gastrointestinal
"9-month-old with sudden onset colicky abdominal pain, currant jelly stools, and sausage-shaped mass.",Intussusception,Infant,Gastrointestinal
"5-year-old with acute right lower quadrant pain, fever, and rebound tenderness. Pain migrated from periumbilical region.",Appendicitis,Preschool,Gastrointestinal
"3-week-old with bilious vomiting and abdominal distension. Double bubble sign on X-ray.",Duodenal atresia,Neonate,Gastrointestinal
"2-year-old with bloody diarrhea, abdominal pain, and recent antibiotic use.",Clostridioides difficile colitis,Toddler,Gastrointestinal
"6-year-old with chronic constipation since infancy. Empty rectal vault on exam. Delayed passage of meconium.",Hirschsprung disease,School-age,Gastrointestinal
"8-month-old with failure to thrive, chronic diarrhea starting after introduction of cereals. Villous atrophy on biopsy.",Celiac disease,Infant,Gastrointestinal
"4-year-old with recurrent abdominal pain, vomiting, and headaches. No organic cause found.",Abdominal migraine,Preschool,Gastrointestinal
"Newborn with failure to pass meconium in first 48 hours and abdominal distension.",Meconium ileus,Neonate,Gastrointestinal
"7-year-old with chronic intermittent abdominal pain relieved by defecation. Normal growth.",Irritable bowel syndrome,School-age,Gastrointestinal
"5-year-old with high fever, rash on trunk spreading to extremities, strawberry tongue, and cervical lymphadenopathy.",Kawasaki disease,Preschool,Infectious
"2-year-old with vesicular rash in different stages, fever, and pruritus. Unvaccinated.",Varicella,Toddler,Infectious
"4-year-old with high fever, cough, coryza, conjunctivitis, and maculopapular rash starting on face.",Measles,Preschool,Infectious
"3-year-old with vesicular lesions on hands, feet, and oral mucosa. Low-grade fever.",Hand-foot-mouth disease,Toddler,Infectious
"7-year-old with slapped cheek appearance and lacy reticular rash on extremities.",Erythema infectiosum,School-age,Infectious
"9-month-old with high fever for 3 days followed by appearance of roseoliform rash as fever resolves.",Roseola infantum,Infant,Infectious
"6-year-old with sandpaper-like rash, strawberry tongue, and recent sore throat.",Scarlet fever,School-age,Infectious
"8-year-old with painful swelling of parotid glands bilaterally. Unvaccinated.",Mumps,School-age,Infectious
"5-year-old with severe sore throat, grayish membrane over tonsils, and bull neck appearance. Unvaccinated.",Diphtheria,Preschool,Infectious
"3-year-old with impetigo progressing to honey-crusted lesions around mouth and nose.",Impetigo,Toddler,Infectious
"6-month-old with irritability, bulging fontanelle, fever, and nuchal rigidity.",Bacterial meningitis,Infant,Neurological
"4-year-old with generalized tonic-clonic seizure during febrile illness. Post-ictal drowsiness.",Febrile seizure,Preschool,Neurological
"8-year-old with brief staring spells multiple times daily. EEG shows 3-Hz spike-and-wave.",Absence epilepsy,School-age,Neurological
"2-year-old with developmental regression, loss of acquired skills, and new-onset seizures.",Neurodegenerative disorder,Toddler,Neurological
"10-year-old with recurrent headaches, worse in morning, with vomiting and papilledema.",Increased intracranial pressure,School-age,Neurological
"3-year-old with unsteady gait, intention tremor, and nystagmus developing over weeks.",Cerebellar tumor,Toddler,Neurological
"7-year-old with ascending weakness starting in legs, areflexia, and recent viral illness.",Guillain-Barré syndrome,School-age,Neurological
"5-year-old with facial weakness, drooling, and inability to close eye on one side.",Bell's palsy,Preschool,Neurological
"9-year-old with chronic headaches, worse in afternoon, relieved by rest. Normal neuro exam.",Tension headache,School-age,Neurological
"Newborn with hypotonia, poor feeding, and weak cry. No deep tendon reflexes.",Spinal muscular atrophy,Neonate,Neurological
"4-month-old with not smiling or following faces. No head control. Lacks fix and follow.",Global developmental delay,Infant,Developmental
"18-month-old with no words, limited eye contact, and repetitive hand movements.",Autism spectrum disorder,Toddler,Developmental
"3-year-old with delayed motor milestones, proximal muscle weakness, and Gower sign positive.",Duchenne muscular dystrophy,Toddler,Developmental
"5-year-old with hyperactivity, impulsivity, and difficulty following instructions at school.",ADHD,Preschool,Developmental
"7-year-old with difficulty reading despite normal intelligence. Letter reversals common.",Dyslexia,School-age,Developmental
"2-year-old with speech delay but normal receptive language and social skills.",Expressive language disorder,Toddler,Developmental
"4-year-old with stuttering that worsens with excitement or stress.",Developmental stuttering,Preschool,Developmental
"9-year-old with poor coordination affecting handwriting and sports activities.",Developmental coordination disorder,School-age,Developmental
"6-year-old with bed-wetting at night. Daytime continence achieved.",Primary nocturnal enuresis,School-age,Developmental
"8-year-old with obsessive thoughts and compulsive hand-washing behaviors.",Obsessive-compulsive disorder,School-age,Developmental
"3-week-old with prolonged jaundice, pale stools, and dark urine. Hepatomegaly present.",Biliary atresia,Neonate,Hepatobiliary
"2-day-old with jaundice appearing in first 24 hours of life. Mother is O positive, baby is A positive.",ABO incompatibility,Neonate,Hematology
"5-year-old with pallor, fatigue, and splenomegaly. Sickle cells on peripheral smear.",Sickle cell disease,Preschool,Hematology
"7-year-old with petechiae, easy bruising, and thrombocytopenia. Recent viral illness.",Immune thrombocytopenia,School-age,Hematology
"3-year-old with pallor, irritability, and pica. Low MCV on blood count.",Iron deficiency anemia,Toddler,Hematology
"9-year-old with recurrent joint and muscle bleeds. Prolonged PTT.",Hemophilia A,School-age,Hematology
"6-month-old with severe anemia requiring transfusion. Mediterranean descent.",Beta-thalassemia major,Infant,Hematology
"4-year-old with lymphadenopathy, bone pain, and hepatosplenomegaly. Blasts on peripheral smear.",Acute lymphoblastic leukemia,Preschool,Oncology
"2-year-old with abdominal mass crossing midline. Elevated catecholamines.",Neuroblastoma,Toddler,Oncology
"5-year-old with large abdominal mass, hematuria, and hypertension.",Wilms tumor,Preschool,Oncology
"8-year-old with painless testicular mass. Elevated AFP and beta-hCG.",Testicular tumor,School-age,Oncology
"6-year-old with ataxia, morning vomiting, and headaches. MRI shows posterior fossa mass.",Medulloblastoma,School-age,Oncology
"New born with bilateral undescended testes. Normal penis and scrotum.",Cryptorchidism,Neonate,Urology
"4-year-old boy with sudden onset of severe testicular pain and swelling. Absent cremasteric reflex.",Testicular torsion,Preschool,Urology
"3-year-old boy with painless swelling of scrotum that transilluminates.",Hydrocele,Toddler,Urology
"5-year-old with urinary frequency, urgency, and dysuria. Positive urine culture.",Urinary tract infection,Preschool,Urology
"7-year-old with periorbital edema, proteinuria, and hypoalbuminemia.",Nephrotic syndrome,School-age,Nephrology
"6-year-old with gross hematuria and hypertension following recent strep pharyngitis.",Post-streptococcal glomerulonephritis,School-age,Nephrology
"9-year-old with polyuria, polydipsia, and weight loss. Elevated blood glucose.",Type 1 diabetes mellitus,School-age,Endocrine
"3-year-old with accelerated growth velocity and early pubic hair development.",Precocious puberty,Toddler,Endocrine
"10-year-old with short stature, delayed bone age, and low growth hormone levels.",Growth hormone deficiency,School-age,Endocrine
"Newborn with ambiguous genitalia and salt-wasting crisis. Elevated 17-hydroxyprogesterone.",Congenital adrenal hyperplasia,Neonate,Endocrine
"8-year-old with goiter, weight gain, fatigue, and cold intolerance. Elevated TSH.",Hypothyroidism,School-age,Endocrine
"6-year-old with weight loss, tremor, and exophthalmos. Low TSH.",Graves disease,School-age,Endocrine
"4-year-old with tetany and seizures. Low calcium and high phosphorus. Recent thyroid surgery in mother.",Hypoparathyroidism,Preschool,Endocrine
"2-year-old with central obesity, moon facies, and hypertension.",Cushing syndrome,Toddler,Endocrine
