Scenario,Expected_Answer,Reasoning_Keywords
"Patient presents with fever (38.5°C), dry cough, and fatigue for 3 days. What is the most likely diagnosis?",Upper respiratory infection,"fever,cough,viral,infection"
"A 45-year-old male with chest pain radiating to left arm, diaphoresis, and shortness of breath. What is the most urgent concern?",Myocardial infarction,"chest pain,arm,cardiac,MI,heart attack"
"Child with barking cough, stridor, and low-grade fever. What condition should be suspected?",Croup,"barking,stridor,laryngotracheitis,viral"
"Patient with sudden severe headache described as 'worst headache of my life', neck stiffness. What is the critical diagnosis to rule out?",Subarachnoid hemorrhage,"thunderclap,SAH,aneurysm,bleeding"
"A diabetic patient with increased thirst, frequent urination, fruity breath odor, and confusion. What is this presentation consistent with?",Diabetic ketoacidosis,"ketones,DKA,acidosis,hyperglycemia"
"Elderly patient with sudden onset confusion, fever, and dysuria. What should be considered?",Urinary tract infection,"UTI,elderly,confusion,fever"
"Young woman with palpitations, weight loss, heat intolerance, and tremor. What endocrine condition is likely?",Hyperthyroidism,"thyroid,T3,T4,Graves"
"Patient with right upper quadrant pain, fever, and Murphy's sign positive. What is the diagnosis?",Acute cholecystitis,"gallbladder,Murphy,RUQ,fever"
"Athlete with sudden chest pain during exertion and family history of sudden death. What must be ruled out?",Hypertrophic cardiomyopathy,"HCM,sudden death,murmur,athlete"
"Patient with progressive dyspnea on exertion, bilateral leg swelling, and JVD. What is the likely condition?",Congestive heart failure,"CHF,edema,JVD,dyspnea"
"Woman with dysuria, frequency, and suprapubic pain. What is the most common cause?",Cystitis,"UTI,dysuria,frequency,bladder"
"Patient with severe epigastric pain radiating to back, nausea, and elevated lipase. What is the diagnosis?",Acute pancreatitis,"lipase,amylase,epigastric,pancreatitis"
"Elderly patient with sudden onset of worst headache, altered mental status, and focal neurological deficits. What is the concern?",Stroke,"CVA,focal,deficit,sudden"
"Young male with testicular pain, high-riding testicle, and absent cremasteric reflex. What is the emergency?",Testicular torsion,"torsion,testicle,emergency,cremasteric"
"Patient with hematemesis, melena, and hypotension. What is the diagnosis?",Upper GI bleeding,"GIB,melena,hematemesis,shock"
"Woman in third trimester with severe headache, visual changes, and hypertension. What is the concern?",Preeclampsia,"pregnancy,hypertension,proteinuria,eclampsia"
"Patient with flank pain radiating to groin, hematuria, and colicky pain. What is the likely diagnosis?",Nephrolithiasis,"kidney stone,hematuria,flank,colic"
"Child with high fever, drooling, and refusing to swallow. What is the emergency condition?",Epiglottitis,"epiglottis,drooling,stridor,emergency"
"Patient with sudden onset of pleuritic chest pain and hemoptysis after long flight. What must be ruled out?",Pulmonary embolism,"PE,DVT,hemoptysis,pleuritic"
"Elderly patient with hip pain after fall, shortened and externally rotated leg. What is the injury?",Hip fracture,"fracture,hip,fall,elderly"
"Patient with severe abdominal pain, rigidity, and rebound tenderness. What surgical emergency is suspected?",Peritonitis,"acute abdomen,rigidity,peritonitis,surgery"
"Young woman with amenorrhea, positive pregnancy test, and pelvic pain. What must be ruled out?",Ectopic pregnancy,"ectopic,HCG,pelvic,pregnancy"
"Patient with progressive muscle weakness, difficulty breathing, and recent viral illness. What is the concern?",Guillain-Barré syndrome,"GBS,weakness,ascending,paralysis"
"Child with petechiae, purpura, and signs of shock. What life-threatening condition should be considered?",Meningococcemia,"sepsis,meningitis,purpura,shock"
"Patient with acute onset of paralysis, slurred speech, and facial droop. Within what time window is treatment critical?",Acute ischemic stroke,"tPA,stroke,window,thrombolysis"
"Patient with crushing substernal chest pain unrelieved by rest or nitroglycerin. What is the diagnosis?",STEMI,"MI,STEMI,troponin,catheterization"
"Elderly patient with acute confusion, tachycardia, and recent surgery. What metabolic cause should be checked?",Delirium,"delirium,postop,confusion,elderly"
"Patient with productive cough, fever, and consolidation on chest X-ray. What is the diagnosis?",Community-acquired pneumonia,"pneumonia,consolidation,fever,CAP"
"Young patient with polyuria, polydipsia, and significant weight loss. What laboratory test confirms the diagnosis?",Type 1 diabetes mellitus,"glucose,A1C,diabetes,insulin"
"Patient with burning epigastric pain relieved by food and worse at night. What is the likely diagnosis?",Peptic ulcer disease,"ulcer,H.pylori,epigastric,antacid"
"Woman with pelvic pain, fever, and cervical motion tenderness. What is the diagnosis?",Pelvic inflammatory disease,"PID,STI,cervical,adnexal"
"Patient with sudden vision loss in one eye described as curtain coming down. What is the emergency?",Retinal detachment,"retina,vision loss,emergency,ophthalmology"
"Child with high fever, rash starting on face, and Koplik spots. What infectious disease is this?",Measles,"measles,Koplik,rash,viral"
"Patient with joint pain, morning stiffness lasting over an hour, and symmetric involvement. What is the diagnosis?",Rheumatoid arthritis,"RA,autoimmune,joint,symmetric"
"Elderly patient with gradual memory loss, executive dysfunction, and personality changes. What is the likely diagnosis?",Alzheimer's disease,"dementia,memory,Alzheimer,cognitive"
"Patient with unilateral leg swelling, warmth, and calf tenderness. What must be ruled out?",Deep vein thrombosis,"DVT,Virchow,swelling,ultrasound"
"Young athlete with sudden collapse during competition. What cardiac cause should be investigated?",Sudden cardiac arrest,"arrhythmia,cardiac,SCA,athlete"
"Patient with chronic cough, weight loss, night sweats, and exposure to tuberculosis. What is suspected?",Pulmonary tuberculosis,"TB,AFB,tuberculosis,cough"
"Woman with facial flushing, diarrhea, and wheezing episodes. What endocrine tumor is suspected?",Carcinoid syndrome,"carcinoid,5-HIAA,flushing,serotonin"
"Patient with ascending weakness, areflexia, and recent campylobacter infection. What is the diagnosis?",Guillain-Barré syndrome,"GBS,ascending,campylobacter,weakness"
"Child with sore throat, fever, and sandpaper rash. What is the diagnosis?",Scarlet fever,"strep,rash,strawberry tongue,scarlet"
"Patient with severe right lower quadrant pain, rebound tenderness, and fever. What is the surgical emergency?",Acute appendicitis,"appendix,McBurney,RLQ,surgery"
"Elderly patient with gradual onset of jaundice and painless gallbladder enlargement. What malignancy is suspected?",Pancreatic cancer,"Courvoisier,jaundice,pancreas,cancer"
"Patient with episodic severe headache, hypertension, and palpitations. What adrenal tumor is suspected?",Pheochromocytoma,"catecholamines,adrenal,hypertension,pheo"
"Woman with breast lump, skin dimpling, and bloody nipple discharge. What must be ruled out?",Breast cancer,"mammogram,biopsy,breast,cancer"
"Patient with photophobia, neck stiffness, and fever. What must be urgently evaluated?",Bacterial meningitis,"meningitis,LP,CSF,kernig"
"Child with wheezing, prolonged expiration, and response to bronchodilators. What is the diagnosis?",Asthma,"bronchospasm,wheezing,asthma,albuterol"
"Patient with crushing chest pain, hypotension, and new systolic murmur after MI. What complication occurred?",Ventricular septal rupture,"VSD,complication,MI,murmur"
"Elderly patient with sudden painless vision loss and afferent pupillary defect. What is the diagnosis?",Central retinal artery occlusion,"CRAO,retina,ischemia,vision"
"Patient with facial weakness, hyperacusis, and loss of taste. What cranial nerve is affected?",Bell's palsy,"CN VII,facial nerve,palsy,idiopathic"
"Young woman with symmetric proximal muscle weakness and heliotrope rash. What is the diagnosis?",Dermatomyositis,"myopathy,CK,rash,proximal"
"Patient with abdominal pain, jaundice, and acholic stools. What hepatobiliary condition is suspected?",Obstructive jaundice,"cholestasis,bilirubin,obstruction,CBD"
"Child with stridor, barking cough worse at night, and steeple sign on X-ray. What is the diagnosis?",Croup,"laryngotracheitis,steeple,croup,viral"
"Patient with fatigue, pallor, and glossitis. What nutritional deficiency should be considered?",Vitamin B12 deficiency,"pernicious,macrocytic,anemia,B12"
"Woman with heavy menstrual bleeding, pelvic pressure, and enlarged uterus. What is the likely cause?",Uterine fibroids,"leiomyoma,fibroid,menorrhagia,uterus"
"Patient with sudden onset of vertigo, nystagmus, and nausea without hearing loss. What is the diagnosis?",Benign paroxysmal positional vertigo,"BPPV,vertigo,Epley,nystagmus"
"Elderly patient with gradual hearing loss, especially high frequencies. What is the diagnosis?",Presbycusis,"hearing loss,aging,sensorineural,elderly"
"Patient with recurrent abdominal pain, bloating, and alternating bowel habits. What is the diagnosis?",Irritable bowel syndrome,"IBS,functional,bowel,Rome"
"Child with periorbital edema, proteinuria, and hypoalbuminemia. What is the diagnosis?",Nephrotic syndrome,"protein,edema,minimal change,nephrotic"
"Patient with progressive dysphagia to solids then liquids and weight loss. What malignancy is suspected?",Esophageal cancer,"dysphagia,esophagus,cancer,barium"
"Woman with hot flashes, night sweats, and menstrual irregularity. What condition is this?",Menopause,"perimenopause,estrogen,FSH,menopause"
"Patient with painless hematuria and flank mass. What renal malignancy should be suspected?",Renal cell carcinoma,"RCC,kidney,hematuria,mass"
"Child with limp and refusal to bear weight but no fever. What condition should be considered?",Transient synovitis,"toxic synovitis,hip,viral,limp"
"Patient with chronic fatigue, cold intolerance, and weight gain. What thyroid condition is likely?",Hypothyroidism,"TSH,thyroid,levothyroxine,Hashimoto"
"Young patient with anxiety, tremor, and lid lag. What thyroid condition is likely?",Graves disease,"hyperthyroidism,Graves,tremor,exophthalmos"
"Patient with chest pain that worsens with breathing and improves when leaning forward. What is the diagnosis?",Acute pericarditis,"pericardium,friction rub,ECG,pericarditis"
"Elderly patient with lower back pain radiating to legs that improves with forward flexion. What is the diagnosis?",Lumbar spinal stenosis,"stenosis,claudication,spine,flexion"
"Patient with painful skin vesicles in dermatomal distribution. What is the diagnosis?",Herpes zoster,"shingles,VZV,dermatomal,vesicles"
